axis,value,scene,layer,readout,result
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:relief_from_stress,0.017296519380874967
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:help_wounded,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:immediate_compliance,0.32162234522513455
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:go_to_surface,0.2665407667449694
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_other,0.4398437451083848
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_others,0.4398437451083848
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:seek_information,0.35289781083592414
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:avoid_blame,0.038668164625998216
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:follow_leader,0.05116816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:support_leader,0.27050595486719153
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:challenge_leader,0.013668164625998222
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:scrutinize_leader,0.22789781083592414
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:faction_loyalty,0.2455059548671915
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:contain_enemy,0.24154076674496938
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:monitor_enemy,0.21486205175662274
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:complete_mission,0.2841223452251345
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:preserve_knowledge,0.2251057281274999
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:contain_threat,0.2665407667449694
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:avoid_pain,0.024714940900709845
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:keep_vow,0.08133026251671029
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:uphold_values,0.08866816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:redeem_self,0.08866816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:fulfill_role,0.12616816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_specific_person,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:test_loyalty,0.29662234522513453
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:escape,0.021086586145833114
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:avenge,0.08866816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:self_preservation,0.016005007665667995
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:BODY_CIRCADIAN_RESET,0.07092487413575171
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_lives,0.26542437638702643
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_order,0.3091223452251345
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:seek_status,0.13866816462599824
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:preserve_autonomy,0.008586586145833117
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:serve_authority,0.12616816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:pursue_truth,0.3387190958475775
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_bonds,0.42734374510838485
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:seek_comfort,0.03721494090070985
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:self_transcendence,0.09383026251671028
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:accumulate_resources,0.24154076674496938
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:other,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:A:escape,0.35935417945140885
