characterId,axis,base,scene,readout,slope,sign
assi-the-runner,A_Power_Sovereignty,0.7,S_neutral,drv:affiliationNeed,-0.0284,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:comfort,-0.0706,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:praise,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:apologize,-0.0202,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:share_resource,-0.0605,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:treat,-0.0807,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:escort,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:command,0.2633,1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:threaten,0.2501,1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:accuse,0.1711,1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:talk,-0.028,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,prior:B:negotiate,0.07,1
assi-the-runner,A_Power_Sovereignty,0.7,S_vulnerable,drv:affiliationNeed,-0.0284,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:comfort,-0.0706,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:praise,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:apologize,-0.0202,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:share_resource,-0.0605,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:treat,-0.0807,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:escort,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:command,0.2633,1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:threaten,0.2501,1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:accuse,0.1711,1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:talk,-0.028,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,prior:B:negotiate,0.07,1
assi-the-runner,A_Power_Sovereignty,0.7,S_hierarchy,drv:affiliationNeed,-0.0284,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:comfort,-0.0706,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:praise,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:apologize,-0.0202,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:share_resource,-0.0605,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:treat,-0.0807,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:escort,-0.0504,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:command,0.2632,1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:threaten,0.2501,1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:accuse,0.1711,1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:talk,-0.028,-1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,prior:B:negotiate,0.07,1
assi-the-runner,A_Power_Sovereignty,0.7,S_threat,drv:affiliationNeed,-0.0312,-1
assi-the-runner,A_Safety_Care,0.5,S_neutral,drv:affiliationNeed,0.0491,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:comfort,0.1211,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:praise,0.0865,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:apologize,0.0346,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:share_resource,0.1038,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:treat,0.1383,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:guard,0.2133,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:escort,0.1729,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:threaten,-0.0903,-1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:accuse,-0.0677,-1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:talk,0.048,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:signal,0.08,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,prior:B:call_backup,0.2,1
assi-the-runner,A_Safety_Care,0.5,S_vulnerable,drv:affiliationNeed,0.0491,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:comfort,0.1211,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:praise,0.0865,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:apologize,0.0346,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:share_resource,0.1038,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:treat,0.1383,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:guard,0.2133,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:escort,0.1729,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:threaten,-0.0903,-1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:accuse,-0.0677,-1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:talk,0.048,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:signal,0.08,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,prior:B:call_backup,0.2,1
assi-the-runner,A_Safety_Care,0.5,S_hierarchy,drv:affiliationNeed,0.0491,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:comfort,0.1211,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:praise,0.0865,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:apologize,0.0346,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:share_resource,0.1038,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:treat,0.1383,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:guard,0.2133,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:escort,0.1729,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:threaten,-0.0903,-1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:accuse,-0.0677,-1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:talk,0.048,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:signal,0.08,1
assi-the-runner,A_Safety_Care,0.5,S_threat,prior:B:call_backup,0.2,1
assi-the-runner,A_Safety_Care,0.5,S_threat,drv:affiliationNeed,0.0535,1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,goal:status,-0.0376,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,goal:order,-0.0893,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:protect_status_position,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:follow_order,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:maintain_legitimacy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:assert_autonomy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:avoid_blame,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:follow_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:challenge_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:preserve_knowledge,-0.0478,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:keep_vow,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:uphold_values,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:redeem_self,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:fulfill_role,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:avenge,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:seek_status,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:serve_authority,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,util:self_transcendence,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_neutral,drv:statusNeed,-0.0403,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,goal:status,-0.0376,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,goal:order,-0.0893,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:protect_status_position,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:follow_order,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:maintain_legitimacy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:assert_autonomy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:avoid_blame,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:follow_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:challenge_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:preserve_knowledge,-0.0478,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:keep_vow,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:uphold_values,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:redeem_self,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:fulfill_role,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:avenge,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:seek_status,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:serve_authority,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,util:self_transcendence,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:comfort,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:praise,0.0432,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:apologize,0.0648,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:share_resource,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:command,-0.0375,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:accuse,0.0594,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:negotiate,0.045,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,prior:B:propose_trade,0.03,1
assi-the-runner,A_Tradition_Continuity,0.2,S_vulnerable,drv:statusNeed,-0.0403,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,goal:status,-0.0376,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,goal:order,-0.0893,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:protect_status_position,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:follow_order,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:maintain_legitimacy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:assert_autonomy,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:avoid_blame,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:follow_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:challenge_leader,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:preserve_knowledge,-0.0478,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:keep_vow,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:uphold_values,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:redeem_self,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:fulfill_role,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:avenge,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:seek_status,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:serve_authority,-0.0374,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,util:self_transcendence,-0.0678,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:comfort,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:praise,0.0432,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:apologize,0.0648,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:share_resource,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:command,-0.0375,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:accuse,0.0594,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:negotiate,0.045,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,prior:B:propose_trade,0.03,1
assi-the-runner,A_Tradition_Continuity,0.2,S_hierarchy,drv:statusNeed,-0.0403,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,goal:status,-0.0387,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:protect_status_position,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:follow_order,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:maintain_legitimacy,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:assert_autonomy,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:avoid_blame,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:follow_leader,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:challenge_leader,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:uphold_values,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:redeem_self,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:fulfill_role,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:avenge,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:seek_status,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,util:serve_authority,-0.0386,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:comfort,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:praise,0.0432,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:apologize,0.0648,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:share_resource,0.0216,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:command,-0.0375,-1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:accuse,0.0594,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:negotiate,0.045,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,prior:B:propose_trade,0.03,1
assi-the-runner,A_Tradition_Continuity,0.2,S_threat,drv:statusNeed,-0.0459,-1
assi-the-runner,B_tolerance_ambiguity,0.8,S_neutral,prior:assi-the-runner:escape,0.0239,1
assi-the-runner,B_tolerance_ambiguity,0.8,S_neutral,prior:assi-the-runner:wait,-0.0236,-1
assi-the-runner,B_tolerance_ambiguity,0.8,S_neutral,drv:curiosityNeed,-0.0308,-1
assi-the-runner,B_tolerance_ambiguity,0.8,S_vulnerable,prior:assi-the-runner:escape,0.0239,1
